iter	Passed	Remaining
206	431	1653
207	432	1647
208	434	1643
209	435	1638
210	436	1633
211	438	1628
212	439	1625
213	441	1620
214	442	1616
215	443	1611
216	445	1607
217	447	1604
218	449	1601
219	450	1597
220	452	1594
221	454	1591
222	455	1587
223	457	1584
224	459	1581
225	460	1578
226	462	1574
227	463	1570
228	465	1566
229	466	1562
230	468	1559
231	469	1555
232	471	1552
233	473	1550
234	475	1546
235	476	1542
236	477	1537
237	479	1533
238	480	1530
239	482	1526
240	483	1522
241	485	1519
242	487	1519
243	489	1516
244	491	1514
245	493	1511
246	494	1508
247	496	1505
248	498	1502
249	499	1499
250	501	1497
251	503	1494
252	505	1491
253	506	1488
254	508	1486
255	510	1483
256	512	1482
257	514	1479
258	516	1477
259	518	1474
260	519	1471
261	521	1469
262	523	1467
263	525	1465
264	527	1463
265	529	1461
266	531	1459
267	533	1456
268	535	1454
269	537	1454
270	539	1452
271	541	1450
272	543	1448
273	545	1446
274	547	1443
275	549	1441
276	552	1440
277	554	1439
278	555	1436
279	558	1435
280	560	1433
281	561	1430
282	564	1430
283	566	1429
284	569	1428
285	571	1426
286	573	1424
287	575	1422
288	577	1420
289	579	1418
290	581	1416
291	583	1415
292	585	1412
293	587	1409
294	588	1407
295	591	1406
296	592	1403
297	594	1400
298	596	1397
299	598	1396
300	600	1394
301	602	1391
302	603	1389
303	606	1389
304	608	1386
305	610	1383
306	612	1382
307	614	1381
308	616	1378
309	618	1376
310	620	1373
311	622	1372
312	624	1370
313	626	1368
314	628	1366
315	630	1364
316	632	1361
317	633	1359
318	636	1358
319	638	1356
320	639	1352
321	641	1349
322	643	1348
323	645	1346
324	647	1344
325	649	1343
326	651	1341
327	653	1339
328	655	1336
329	657	1334
330	659	1332
331	660	1329
332	662	1326
333	663	1323
334	665	1321
335	667	1318
336	668	1315
337	670	1312
338	671	1309
339	673	1307
340	674	1304
341	676	1300
342	677	1298
343	679	1295
344	680	1291
345	681	1288
346	683	1285
347	684	1282
348	685	1279
349	687	1276
350	688	1273
351	690	1270
352	691	1267
353	693	1264
354	694	1262
355	696	1259
356	697	1256
357	698	1253
358	700	1250
359	702	1248
360	703	1245
361	705	1243
362	706	1240
363	708	1237
364	709	1235
365	711	1232
366	713	1230
367	714	1227
368	716	1224
369	717	1221
370	719	1219
371	721	1217
372	722	1214
373	724	1212
374	726	1210
375	728	1208
376	729	1206
377	731	1203
378	733	1201
379	734	1198
380	736	1196
381	737	1193
382	739	1191
383	740	1188
384	742	1185
385	743	1183
386	745	1181
387	747	1179
388	749	1177
389	751	1175
390	753	1173
391	755	1171
392	756	1168
393	758	1166
394	760	1164
395	761	1161
396	763	1160
397	765	1157
398	767	1155
399	768	1153
400	770	1150
401	772	1148
402	774	1147
403	776	1145
404	777	1142
405	779	1140
406	781	1138
407	783	1136
408	784	1133
409	786	1131
410	787	1129
411	789	1127
412	791	1125
413	793	1123
414	795	1121
415	797	1120
416	799	1117
417	801	1115
418	803	1113
419	805	1111
420	806	1109
421	808	1107
422	809	1104
423	811	1102
424	813	1100
425	814	1098
426	816	1095
427	818	1093
428	820	1091
429	822	1089
430	824	1087
431	825	1085
432	827	1083
433	829	1081
434	831	1079
435	833	1077
436	834	1075
437	836	1073
438	837	1070
439	839	1068
440	841	1066
441	842	1064
442	844	1061
443	846	1059
444	847	1057
445	849	1055
446	851	1052
447	852	1050
448	854	1048
449	855	1046
450	857	1043
451	859	1041
452	861	1039
453	862	1037
454	864	1035
